x,y,z_cols,cmi_min_full_data,observed,boot_mean,boot_se,boot_ci95_lo,boot_ci95_hi,boot_median,n_boots
age_bin,marital_status,family_type+education_level,0.0588980528521049,0.06287844649788128,0.06585963546500465,0.0010688947744190097,0.0640175435631266,0.06777512404406959,0.06578084597971348,100
age_bin,family_type,marital_status+education_level,0.0900046098602625,0.09968621817029333,0.10725931874420405,0.0012411805741726826,0.10503637342486569,0.10966142694723359,0.10745600993433752,100
age_bin,education_level,marital_status+bachelors_field,0.133933889473941,0.13655529837702546,0.13804380410722733,0.0015480491055859962,0.13506685073608704,0.14073312625226184,0.13806871334604448,100
age_bin,occupation,education_level+military_status,0.0893585611748283,0.16940668039409462,0.2123195834933393,0.0017866263645224742,0.20891545668699585,0.2152267824981879,0.21250520444104914,100
age_bin,district,province+military_status,0.0146613214822463,0.02701436008046576,0.03614310306935192,0.0007412248996843763,0.034761488840201596,0.03779564220875056,0.03610178865350742,100
sex,marital_status,family_type+education_level,0.0087158192756503,0.009431348626050023,0.010289156789843499,0.0005201410971271876,0.009336278279793105,0.011203310131398926,0.010286943454703809,100
sex,family_type,marital_status+military_status,0.0077201820044217,0.008010555586966632,0.008422027736645599,0.0003837271546867572,0.007672416814900676,0.009109232481267987,0.00840208927067058,100
sex,bachelors_field,occupation+education_level,0.0250328211391345,0.03878017648763444,0.04317370773111575,0.0007805720997288962,0.04161684525242238,0.044439123225578435,0.04321532118633064,100
sex,occupation,bachelors_field+military_status,0.1056608712110978,0.1292091063842895,0.1413893082128888,0.0013711103263843152,0.1384353905187162,0.144349109709104,0.14137741493240996,100
marital_status,family_type,age_bin+sex,0.5215295379737027,0.5260342911156672,0.5279416767354536,0.0017042162762881904,0.524606153763683,0.531473193970694,0.5279946889234051,100
marital_status,occupation,age_bin+military_status,0.0183912173113054,0.0644327955588238,0.08840146873173207,0.0011888728920878956,0.08599000476229113,0.09087751437187651,0.08846593339620898,100
marital_status,district,province+family_type,0.0087754687549881,0.027900683605205458,0.039605271686645495,0.000845644311131566,0.038254050957494325,0.04156949221653614,0.039596503494298746,100
military_status,occupation,sex+age_bin,0.0295137274400795,0.03039416893280742,0.03034734949713088,0.001091078393960237,0.028256680867009946,0.03256108992779969,0.03050575874240815,100
family_type,occupation,marital_status+military_status,0.0580678272465811,0.16065191859527428,0.20924254780659737,0.0017270925858984792,0.20650351814490533,0.21250819374410482,0.20905004741982428,100
family_type,district,province+marital_status,0.0301194838633878,0.07955401517613787,0.11503253811642276,0.001229098482069585,0.11289922530354145,0.1174467946166295,0.11508522836316668,100
housing_type,occupation,military_status+sex,0.0096494708810358,0.05460510006010547,0.07928528837471008,0.001017122739191188,0.07713844145383106,0.08133857118099996,0.07932989188390631,100
housing_type,district,province+military_status,0.0800740929071006,0.08808970503207793,0.0944499397225033,0.0014282056577515144,0.09196163059321157,0.09739685707092931,0.09432550144220644,100
education_level,bachelors_field,occupation+district,0.4202975128298292,0.33217015922286536,0.30500019947236473,0.001719676186147165,0.3014208138163724,0.3082271399740715,0.3051685840335173,100
education_level,occupation,bachelors_field+age_bin,0.0997936030759093,0.15920979733997248,0.18390312236496023,0.0016874223651133407,0.18048915474559069,0.18694431264317996,0.1838377538887138,100
education_level,district,bachelors_field+province,0.0181192182886108,0.031546693711482394,0.042973627157055556,0.0008233736094520125,0.041611103157392464,0.044860998262461434,0.042894756885165655,100
bachelors_field,occupation,education_level+sex,0.058616810619199,0.11258297946011586,0.13807910695769238,0.001401429640915087,0.13531473979742925,0.14047933874205482,0.13832154978801686,100
occupation,district,province+military_status,0.1423048627357953,0.47068725305793185,0.6047992218179006,0.002876757830709106,0.5994134326850871,0.6102761081386183,0.6044987342498536,100
district,province,housing_type+occupation,2.2709818012387655,2.1128803540820753,2.0367157625601293,0.0032805037955877152,2.0298343135184984,2.0426184188385874,2.036487224317847,100
