x,y,z_cols,cmi_min_full_data,observed,null_mean,null_std,null_p50,null_p95,null_p99,null_max,p_value,z_score,ratio_obs_to_p95,n_perms
age_bin,marital_status,family_type+education_level,0.0588980528521049,0.0628784464978813,0.005523311502378471,0.0002166452463108037,0.005517284524598914,0.005877933196467468,0.005997403812072225,0.006026805068604345,0.009900990099009901,264.7421809256778,10.697373446787402,100
age_bin,family_type,marital_status+education_level,0.0900046098602625,0.09968621817029334,0.01199517491007272,0.0003102535645312439,0.012017020456188254,0.012434364478217866,0.012832695084122282,0.013032282673750877,0.009900990099009901,282.64314510845776,8.016993417308989,100
age_bin,education_level,marital_status+bachelors_field,0.133933889473941,0.13655529837702543,0.0018274959963460377,0.00014668370434542594,0.0018224691909883772,0.0020943678934408068,0.0021136479797467973,0.002120064820763132,0.009900990099009901,918.491955066859,65.201199275778,100
age_bin,occupation,education_level+military_status,0.0893585611748283,0.1694066803940946,0.1095205798690539,0.0008335390759378385,0.10949272472131341,0.11084118958251828,0.11110367091482701,0.11237637218057404,0.009900990099009901,71.8455825933069,1.5283729905115813,100
age_bin,district,province+military_status,0.0146613214822463,0.02701436008046576,0.01169728690524793,0.00029837424464457355,0.011709146484238904,0.0122061631915591,0.012386050346754315,0.012595256924369434,0.009900990099009901,51.335104990257065,2.213173759560002,100
sex,marital_status,family_type+education_level,0.0087158192756503,0.009431348626050023,0.0011104526214217123,0.00010057383539455673,0.0011009605493437467,0.0012560685628694684,0.0013933799904555144,0.001401267109161865,0.009900990099009901,82.73420191230628,7.508625647396396,100
sex,family_type,marital_status+military_status,0.0077201820044217,0.00801055558696663,0.00045217997345488976,6.495454291654862e-05,0.00045043613110960816,0.0005724996625132823,0.0006122487682356207,0.0006379357022220302,0.009900990099009901,116.36407977225679,13.992245081508292,100
sex,bachelors_field,occupation+education_level,0.0250328211391345,0.03878017648763443,0.020614777120566807,0.0003150694355310317,0.020612320186277695,0.021095387148229554,0.02117997143485096,0.021330429242873216,0.009900990099009901,57.655225542429626,1.838324948252447,100
sex,occupation,bachelors_field+military_status,0.1056608712110978,0.1292091063842895,0.03299989126544866,0.0004291997669834018,0.03302883945922141,0.033691853720074806,0.03391379616463677,0.03406180037764886,0.009900990099009901,224.15952318669707,3.8350251505248023,100
marital_status,family_type,age_bin+sex,0.5215295379737027,0.5260342911156672,0.006162510365218603,0.0002486285192811251,0.006136969391942247,0.0065479100538899495,0.006642477665743202,0.006687944556476482,0.009900990099009901,2090.9579570903043,80.3362121327802,100
marital_status,occupation,age_bin+military_status,0.0183912173113054,0.0644327955588238,0.059999509096737055,0.0006335975347233494,0.059989376563700555,0.061012008909000534,0.06175435019864335,0.061798045146331214,0.009900990099009901,6.997007120651857,1.0560674318219117,100
marital_status,district,province+family_type,0.0087754687549881,0.02790068360520545,0.023277372921552124,0.00036928921170780295,0.023260362110874396,0.023928260069156167,0.024097758011950694,0.024100353368312788,0.009900990099009901,12.519484829444417,1.1660138900433379,100
military_status,occupation,sex+age_bin,0.0295137274400795,0.03039416893280742,0.007813498618859289,0.00028605004785187024,0.007786579394235995,0.0084025298349796,0.00853112991173046,0.008619530117326772,0.009900990099009901,78.93957887272032,3.6172640299683283,100
family_type,occupation,marital_status+military_status,0.0580678272465811,0.16065191859527422,0.1372006488106651,0.0009424416923524514,0.13727333983144957,0.1386855289779474,0.13923902118903508,0.1392829773390763,0.009900990099009901,24.88352327248155,1.1583899183945843,100
family_type,district,province+marital_status,0.0301194838633878,0.07955401517613787,0.06023845902978401,0.0006732874801250228,0.060176482360828204,0.06124810647064304,0.06181741303994792,0.0624809292579757,0.009900990099009901,28.68842317217477,1.2988812187078644,100
housing_type,occupation,military_status+sex,0.0096494708810358,0.05460510006010548,0.05096419711226864,0.0006467754682938504,0.050999351939584756,0.051913513286764426,0.052231346345689766,0.05227860491252241,0.009900990099009901,5.629315158537618,1.051847517205646,100
housing_type,district,province+military_status,0.0800740929071006,0.08808970503207793,0.008505719718885196,0.0002387805687980561,0.008495632961373905,0.00895416141637467,0.009094080457855001,0.00910399827537784,0.009900990099009901,333.2933903030414,9.837850909297478,100
education_level,bachelors_field,occupation+district,0.4202975128298292,0.33217015922286536,0.1447751600561392,0.0006559546434545212,0.14475977523586891,0.14587092021798478,0.14619619675937667,0.14677789452707368,0.009900990099009901,285.6828609060966,2.2771513247909936,100
education_level,occupation,bachelors_field+age_bin,0.0997936030759093,0.15920979733997248,0.10009828040520313,0.0006546365612203298,0.1001026437486715,0.10119149284546226,0.10129387190748662,0.10151639315911697,0.009900990099009901,90.29669351888566,1.57335160163231,100
education_level,district,bachelors_field+province,0.0181192182886108,0.031546693711482394,0.015623677003863174,0.0003950211137923453,0.015654422199386904,0.016262178910841845,0.01646270704356581,0.016486987012327283,0.009900990099009901,40.30928006544387,1.9398811121460793,100
bachelors_field,occupation,education_level+sex,0.058616810619199,0.11258297946011588,0.0763404720425855,0.0005883044658560883,0.07629672364529644,0.07732045843556265,0.07753720064735854,0.0777811634666275,0.009900990099009901,61.605018355233874,1.4560568022749156,100
occupation,district,province+military_status,0.1423048627357953,0.47068725305793185,0.464497218866834,0.0012253750294567455,0.46427831105305983,0.4665009849869951,0.4670759863814822,0.4678141720812438,0.009900990099009901,5.051542623520037,1.00897376041136,100
district,province,housing_type+occupation,2.2709818012387655,2.1128803540820758,1.0237137311339137,0.000998700917108184,1.023706202868373,1.025268723555755,1.0256889020267013,1.026197454167685,0.009900990099009901,1090.5833811607267,2.06080640668951,100
